province;red;green;blue;
1;128;34;64;Stockholm
2;0;36;128;Östergötland
3;128;38;192;Småland
4;0;40;255;Bergslagen
5;128;42;0;Värmland
6;0;44;64;Skåne
7;129;46;128;Västergötland
8;1;48;192;Dalaskogen
9;129;50;255;Hälsingland
10;1;52;0;Jämtland
11;129;54;64;Västerbotten
12;1;56;128;Sjælland
13;129;58;192;Slesvig
14;2;60;255;Fyn
15;130;62;0;Jylland
16;2;64;64;Bohuslän
17;130;66;128;Akershus
18;2;68;192;Lappland
19;130;70;255;Österbotten
20;2;72;0;Trøndelag
21;131;74;64;Hålogaland
22;3;76;128;Eidsiva
23;131;78;192;Bergenshus
24;3;80;255;Agder
25;131;82;0;Gotland
26;3;84;64;Halland
27;131;86;128;Finland
28;4;88;192;Nyland
29;132;90;255;Tavastland
30;4;92;0;Viborg
31;132;94;64;Savolax
32;4;96;128;Kexholm
33;132;98;192;Neva
34;4;100;255;Ingermanland
35;133;102;0;Ösel
36;5;104;64;Estland
37;133;106;128;Livland
38;5;108;192;Riga
39;133;110;255;Kurland
40;5;112;0;Memel
41;133;114;64;Ostpreussen
42;6;116;128;Warmia
43;134;118;192;Danzig
44;6;120;255;Hamburg
45;134;122;0;Lübeck
46;6;124;64;Mecklenburg
47;134;126;128;Vorpommern
48;6;128;192;Hinterpommern
49;135;130;255;Neumark
50;7;132;0;Brandenburg
51;135;134;64;Ruppin
52;7;136;128;Altmark
53;135;138;192;Lüneburg
54;7;140;255;Bremen
55;135;142;0;Oldenburg
56;8;144;64;Osnabrück
57;136;146;128;Hannover
58;8;148;192;Anhalt
59;136;150;255;Meissen
60;8;152;0;Lausitz
61;136;154;64;Dresden
62;8;156;128;Leipzig
63;137;158;192;Erfurt
64;9;32;255;Niederbayern
65;137;34;0;München
66;9;36;64;Bamberg
67;137;38;128;Franken
68;9;40;192;Schwaben
69;137;42;255;Konstanz
70;10;44;0;Württemberg
71;138;46;64;Leiningen
72;10;48;128;Breisgau
73;138;50;192;Tirol
74;10;52;255;Baden
75;138;54;0;Elsass
76;10;56;64;Salzburg
77;139;58;128;Worms
78;11;60;192;Pfalz
79;139;62;255;Würzburg
80;11;64;0;Trier
81;139;66;64;Hessen
82;11;68;128;Lippe
83;139;70;192;Nassau
84;12;72;255;Berg
85;140;74;0;Köln
86;12;76;64;Münster
87;140;78;128;Calais
88;12;80;192;Artois
89;140;82;255;Picardie
90;12;84;0;Vlaanderen
91;141;86;64;Hainault
92;13;88;128;Brabant
93;141;90;192;Liège
94;13;92;255;Luxemburg
95;141;94;0;Noord
96;13;96;64;Zeeland
97;141;98;128;Holland
98;14;100;192;Utrecht
99;142;102;255;Gelre
100;14;104;0;Friesland
101;142;106;64;Liguria
102;14;108;128;Nice
103;85;80;32;Niklas
104;14;112;255;Lombardia
105;143;114;0;Parma
106;15;116;64;Modena
107;143;118;128;Brescia
108;15;120;192;Verona
109;143;122;255;Mantua
110;15;124;0;Trent
111;143;126;64;Friuli
112;16;128;128;Venezia
113;144;130;192;Ferrara
114;16;132;255;Romagna
115;144;134;0;Pisa
116;16;136;64;Firenze
117;144;138;128;Siena
118;16;140;192;Roma
119;145;142;255;Ancona
120;17;144;0;Abbruzzi
121;145;146;64;Napoli
122;17;148;128;Apulia
123;145;150;192;Calabria
124;17;152;255;Messina
125;145;154;0;Palermo
126;18;156;64;Malta
127;146;158;128;Sardinia
128;18;32;192;Kärnten
129;146;34;255;Krain
130;18;36;0;Istria
131;146;38;64;Croatia
132;18;40;128;Steiermark
133;147;42;192;Linz
134;19;44;255;Wien
135;147;46;0;Sopron
136;19;48;64;Dalmatia
137;147;50;128;Ragusa
138;19;52;192;Zeta
139;147;54;255;Hum
140;20;56;0;Bosnia
141;148;58;64;Serbia
142;20;60;128;Corfu
143;148;62;192;Albania
144;20;64;255;Janina
145;148;66;0;Morea
146;20;68;64;Athens
147;149;70;128;Salonica
148;21;72;192;Macedonia
149;149;74;255;Edirne
150;21;76;0;Bulgaria
151;149;78;64;Thrace
152;21;80;128;Slavonia
153;149;82;192;Pecs
154;22;84;255;Ersekujvar
155;150;86;0;Szolnok
156;22;88;64;Banat
157;150;90;128;Partium
158;22;92;192;Transylvania
159;150;94;255;Silistria
160;22;96;0;Oltenia
161;151;98;64;Wallachia
162;23;100;128;Carpathia
163;151;102;192;Crete
164;23;104;255;Naxos
165;151;106;0;Bern
166;23;108;64;Schwyz
167;151;110;128;Caux
168;24;112;192;Normandie
169;152;114;255;Armor
170;24;116;0;Finistère
171;152;118;64;Morbihan
172;24;120;128;Vendée
173;152;122;192;Labourd
174;24;124;255;Gascogne
175;153;126;0;Armagnac
176;25;128;64;Béarn
177;153;130;128;Maine
178;25;132;192;Anjou
179;153;134;255;Berry
180;25;136;0;Poitou
181;153;138;64;Valenciennes
182;26;140;128;Vermandois
183;154;142;192;Île-de-France
184;26;144;255;Orléannais
185;154;146;0;Nemours
186;26;148;64;Champagne
187;154;150;128;Barrois
188;26;152;192;Metz
189;155;154;255;Lothringen
190;27;156;0;Bourbon
191;155;158;64;Nevers
192;27;32;128;Bourgogne
193;155;34;192;Franche-Comté
194;27;36;255;Périgord
195;155;38;0;Limousin
196;28;40;64;Toulouse
197;156;42;128;Roussillon
198;28;44;192;Rouergue
199;156;46;255;Auvergne
200;28;248;0;Languedoc
201;156;50;64;Provence
202;28;52;128;Avignon
203;157;54;192;Lyonnais
204;29;56;255;Dauphiné
205;157;58;0;Savoie
206;29;60;64;Galicia
207;157;62;128;Asturias
208;29;64;192;León
209;157;66;255;Vizcaya
210;30;68;0;Navarra
211;158;70;64;Pirineo
212;30;72;128;Girona
213;158;74;192;Barcelona
214;30;76;255;Aragón
215;158;78;0;Castilla La Vieja
216;30;80;64;Salamanca
217;159;82;128;Madrid
218;31;84;192;Badajoz
219;159;86;255;Toledo
220;31;88;0;València
221;159;90;64;Murcia
222;31;92;128;Almería
223;159;94;192;Granada
224;32;96;255;Andalucía
225;160;98;0;Córdoba
226;32;100;64;Gibraltar
227;160;102;128;Lisboa
228;32;104;192;Beira
229;160;106;255;Alentejo
230;32;108;0;Algarve
231;161;110;64;Porto
232;33;112;128;Bragança
233;161;114;192;Cornwall
234;33;116;255;Wessex
235;161;118;0;Kent
236;33;120;64;London
237;161;122;128;Oxfordshire
238;34;124;192;Essex
239;162;126;255;Gloucestershire
240;34;128;0;Marches
241;162;130;64;Glamorgan
242;34;132;128;Gwynedd
243;162;134;192;Lincoln
244;34;136;255;Lancashire
245;163;138;0;Yorkshire
246;35;140;64;Northumberland
